timestamp,generation_Wh
2018-10-02 09:50,9.66667
2018-10-02 09:55,7.66667
2018-10-02 10:00,8.41667
2018-10-02 10:05,8.41667
2018-10-02 10:10,7.33333
2018-10-02 10:15,8.16667
2018-10-02 10:20,8.16667
2018-10-02 10:25,5.75
2018-10-02 10:30,6.16667
2018-10-02 10:35,6.16667
2018-10-02 10:40,6
2018-10-02 10:45,6.83333
2018-10-02 10:50,6.83333
2018-10-02 10:55,5.91667
2018-10-02 11:00,6.58333
2018-10-02 11:05,6.58333
2018-10-02 11:10,4.58333
2018-10-02 11:15,4.58333
2018-10-02 11:20,4.58333
2018-10-02 11:25,3.75
2018-10-02 11:30,3.91667
2018-10-02 11:35,3.91667
2018-10-02 11:40,5.16667
2018-10-02 11:45,6.16667
2018-10-02 11:50,6.16667
2018-10-02 11:55,7.33333
2018-10-02 12:00,8.75
2018-10-02 12:05,8.75
2018-10-02 12:10,8.08333
2018-10-02 12:15,9.16667
2018-10-02 12:20,9.16667
2018-10-02 12:25,15.75
2018-10-02 12:30,18.1667
2018-10-02 12:35,18.1667
2018-10-02 12:40,28.1667
2018-10-02 12:45,32.25
2018-10-02 12:50,32.25
2018-10-02 12:55,24.1667
2018-10-02 13:00,23.5833
2018-10-02 13:05,23.5833
2018-10-02 13:10,21.75
2018-10-02 13:15,22.5833
2018-10-02 13:20,22.5833
2018-10-02 13:25,22.8333
2018-10-02 13:30,24.25
2018-10-02 13:35,24.25
2018-10-02 13:40,27.8333
2018-10-02 13:45,30.5
2018-10-02 13:50,30.5
2018-10-02 13:55,27.25
2018-10-02 14:00,28
2018-10-02 14:05,28
2018-10-02 14:10,24.5833
2018-10-02 14:15,25.1667
2018-10-02 14:20,25.1667
2018-10-02 14:25,22.75
2018-10-02 14:30,23.6667
2018-10-02 14:35,23.6667
2018-10-02 14:40,18.0833
2018-10-02 14:45,17.4167
2018-10-02 14:50,17.4167
2018-10-02 14:55,17.25
2018-10-02 15:00,18.6667
2018-10-02 15:05,18.6667
2018-10-02 15:10,19.3333
2018-10-02 15:15,20.75
2018-10-02 15:20,20.75
2018-10-02 15:25,17.75
2018-10-02 15:30,17.8333
2018-10-02 15:35,17.8333
2018-10-02 15:40,12.5833
2018-10-02 15:45,11.9167
2018-10-02 15:50,11.9167
2018-10-02 15:55,8
2018-10-02 16:00,7.83333
2018-10-02 16:05,7.83333
2018-10-02 16:10,4.66667
2018-10-02 16:15,3.91667
2018-10-02 16:20,3.91667
2018-10-02 16:25,3.16667
2018-10-02 16:30,3.16667
2018-10-02 16:35,3.16667
2018-10-02 16:40,2.16667
2018-10-02 16:45,2.08333
2018-10-02 16:50,2.08333
2018-10-02 16:55,1.16667
2018-10-02 17:00,0.833333
2018-10-02 17:05,0.833333
2018-10-02 17:10,0.666667
2018-10-02 17:15,0.583333
2018-10-02 17:20,0.583333
2018-10-02 17:25,0.25
2018-10-02 17:30,0.166667
2018-10-02 17:35,0.166667
2018-10-02 17:40,0.0833333
2018-10-03 06:25,0.166667
2018-10-03 06:30,0.583333
2018-10-03 06:35,0.583333
2018-10-03 06:40,0.583333
2018-10-03 06:45,0.583333
2018-10-03 06:50,0.583333
2018-10-03 06:55,0.833333
2018-10-03 07:00,1.33333
2018-10-03 07:05,1.33333
2018-10-03 07:10,1.25
2018-10-03 07:15,1.25
2018-10-03 07:20,1.25
2018-10-03 07:25,1.83333
2018-10-03 07:30,3.08333
2018-10-03 07:35,3.08333
2018-10-03 07:40,2.66667
2018-10-03 07:45,2.33333
