timestamp,irradiance W_m2
2018-12-01 05:48,2.82059
2018-12-01 05:50,4.461954
2018-12-01 05:52,4.133681
2018-12-01 05:54,4.461954
2018-12-01 05:56,4.133681
2018-12-01 05:58,3.477136
2018-12-01 06:00,3.477136
2018-12-01 06:02,2.82059
2018-12-01 06:04,3.148863
2018-12-01 06:06,2.164045
2018-12-01 06:08,3.805409
2018-12-01 06:10,1.507499
2018-12-01 06:12,4.790227
2018-12-01 06:14,3.477136
2018-12-01 06:16,3.805409
2018-12-01 06:18,4.461954
2018-12-01 06:20,3.477136
2018-12-01 06:22,3.477136
2018-12-01 06:24,3.148863
2018-12-01 06:26,4.133681
2018-12-01 06:28,4.133681
2018-12-01 06:30,3.148863
2018-12-01 06:32,3.477136
2018-12-01 06:34,3.805409
2018-12-01 06:36,3.805409
2018-12-01 06:38,4.133681
2018-12-01 06:40,2.492318
2018-12-01 06:42,3.805409
2018-12-01 06:44,3.477136
2018-12-01 06:46,4.461954
2018-12-01 06:48,3.805409
2018-12-01 06:50,3.477136
2018-12-01 06:52,3.148863
2018-12-01 06:54,3.805409
2018-12-01 06:56,5.775045
2018-12-01 06:58,3.805409
2018-12-01 07:00,0.850954
2018-12-01 07:02,3.477136
2018-12-01 07:04,2.492318
2018-12-01 07:06,4.461954
2018-12-01 07:08,4.461954
2018-12-01 07:10,4.133681
2018-12-01 07:12,2.82059
2018-12-01 07:14,2.164045
2018-12-01 07:16,3.805409
2018-12-01 07:18,2.164045
2018-12-01 07:20,3.148863
2018-12-01 07:22,1.835772
2018-12-01 07:24,4.133681
2018-12-01 07:26,3.477136
2018-12-01 07:28,3.148863
2018-12-01 07:30,4.133681
2018-12-01 07:32,3.148863
2018-12-01 07:34,3.477136
2018-12-01 07:36,3.477136
2018-12-01 07:38,5.118499
2018-12-01 07:40,4.133681
2018-12-01 07:42,2.492318
2018-12-01 07:44,2.492318
2018-12-01 07:46,3.477136
2018-12-01 07:48,2.82059
2018-12-01 07:50,4.133681
2018-12-01 07:52,4.133681
2018-12-01 07:54,4.133681
2018-12-01 07:56,4.133681
2018-12-01 07:58,5.446772
2018-12-01 08:00,5.118499
2018-12-01 08:02,4.133681
2018-12-01 08:04,4.790227
2018-12-01 08:06,4.790227
2018-12-01 08:08,4.461954
2018-12-01 08:10,5.118499
2018-12-01 08:12,6.43159
2018-12-01 08:14,4.461954
2018-12-01 08:16,6.43159
