timestamp,irradiance_W_per_m2
2018-10-01 00:00,4.461954
2018-10-01 00:02,2.164045
2018-10-01 00:04,1.835772
2018-10-01 00:06,3.805409
2018-10-01 00:08,2.164045
2018-10-01 00:10,4.790227
2018-10-01 00:12,3.148863
2018-10-01 00:14,3.805409
2018-10-01 00:16,2.82059
2018-10-01 00:18,5.118499
2018-10-01 00:20,5.446772
2018-10-01 00:22,3.805409
2018-10-01 00:24,2.492318
2018-10-01 00:26,2.492318
2018-10-01 00:28,2.492318
2018-10-01 00:30,5.118499
2018-10-01 00:32,3.477136
2018-10-01 00:34,3.805409
2018-10-01 00:36,5.775045
2018-10-01 00:38,2.82059
2018-10-01 00:40,3.805409
2018-10-01 00:42,3.805409
2018-10-01 00:44,4.461954
2018-10-01 00:46,3.805409
2018-10-01 00:48,3.148863
2018-10-01 00:50,4.790227
2018-10-01 00:52,3.477136
2018-10-01 00:54,4.461954
2018-10-01 00:56,3.805409
2018-10-01 00:58,5.446772
2018-10-01 01:00,4.790227
2018-10-01 01:02,2.492318
2018-10-01 01:04,4.461954
2018-10-01 01:06,4.133681
2018-10-01 01:08,2.164045
2018-10-01 01:10,4.461954
2018-10-01 01:12,4.790227
2018-10-01 01:14,5.118499
2018-10-01 01:16,5.446772
2018-10-01 01:18,3.805409
2018-10-01 01:20,4.790227
2018-10-01 01:22,4.790227
2018-10-01 01:24,3.148863
2018-10-01 01:26,3.805409
2018-10-01 01:28,4.461954
2018-10-01 01:30,4.790227
2018-10-01 01:32,5.118499
2018-10-01 01:34,5.775045
2018-10-01 01:36,5.118499
2018-10-01 01:38,4.133681
2018-10-01 01:40,3.805409
2018-10-01 01:42,5.118499
2018-10-01 01:44,5.446772
2018-10-01 01:46,4.790227
2018-10-01 01:48,1.835772
2018-10-01 01:50,4.790227
2018-10-01 01:52,5.118499
2018-10-01 01:54,5.118499
2018-10-01 01:56,4.790227
2018-10-01 01:58,4.133681
2018-10-01 02:00,5.446772
2018-10-01 02:02,3.477136
2018-10-01 02:04,4.461954
2018-10-01 02:06,4.133681
2018-10-01 02:08,5.118499
2018-10-01 02:10,5.446772
2018-10-01 02:12,3.477136
2018-10-01 02:14,3.805409
2018-10-01 02:16,4.461954
2018-10-01 02:18,3.477136
2018-10-01 02:20,4.790227
2018-10-01 02:22,4.790227
2018-10-01 02:24,4.461954
2018-10-01 02:26,4.461954
2018-10-01 02:28,3.805409
2018-10-01 02:30,4.790227
2018-10-01 02:32,4.461954
2018-10-01 02:34,4.790227
2018-10-01 02:36,4.461954
2018-10-01 02:38,4.133681
2018-10-01 02:40,3.477136
2018-10-01 02:42,4.133681
2018-10-01 02:44,5.446772
2018-10-01 02:46,5.118499
2018-10-01 02:48,6.103318
2018-10-01 02:50,3.805409
2018-10-01 02:52,5.118499
2018-10-01 02:54,4.133681
2018-10-01 02:56,2.164045
2018-10-01 02:58,3.477136
2018-10-01 03:00,2.82059
2018-10-01 03:02,1.835772
2018-10-01 03:04,3.148863
2018-10-01 03:06,2.82059
2018-10-01 03:08,3.148863
2018-10-01 03:10,1.835772
2018-10-01 03:12,3.477136
2018-10-01 03:14,3.805409
2018-10-01 03:16,3.805409
2018-10-01 03:18,2.82059
2018-10-01 03:20,4.133681
2018-10-01 03:22,2.492318
2018-10-01 03:24,2.164045
2018-10-01 03:26,3.148863
2018-10-01 03:28,3.477136
2018-10-01 03:30,4.133681
2018-10-01 03:32,4.133681
2018-10-01 03:34,3.477136
2018-10-01 03:36,4.133681
2018-10-01 03:38,4.133681
2018-10-01 03:40,3.477136
2018-10-01 03:42,4.461954
2018-10-01 03:44,3.148863
2018-10-01 03:46,3.148863
2018-10-01 03:48,4.461954
2018-10-01 03:50,3.805409
2018-10-01 03:52,3.805409
2018-10-01 03:54,4.133681
2018-10-01 03:56,4.461954
2018-10-01 03:58,3.477136
2018-10-01 04:00,4.790227
2018-10-01 04:02,4.461954
2018-10-01 04:04,2.82059
2018-10-01 04:06,3.148863
2018-10-01 04:08,4.133681
2018-10-01 04:10,6.43159
2018-10-01 04:12,5.118499
2018-10-01 04:14,5.118499
2018-10-01 04:16,2.164045
2018-10-01 04:18,4.790227
2018-10-01 04:20,4.790227
2018-10-01 04:22,3.805409
2018-10-01 04:24,4.461954
2018-10-01 04:26,5.118499
2018-10-01 04:28,3.477136
2018-10-01 04:30,2.82059
2018-10-01 04:32,2.492318
2018-10-01 04:34,4.133681
2018-10-01 04:36,3.805409
2018-10-01 04:38,4.790227
2018-10-01 04:40,4.461954
2018-10-01 04:42,4.461954
2018-10-01 04:44,4.133681
2018-10-01 04:46,4.133681
2018-10-01 04:48,3.477136
2018-10-01 04:50,4.461954
2018-10-01 04:52,4.461954
2018-10-01 04:54,4.133681
2018-10-01 04:56,3.805409
2018-10-01 04:58,2.492318
2018-10-01 05:00,3.148863
2018-10-01 05:02,2.492318
2018-10-01 05:04,4.790227
2018-10-01 05:06,5.446772
2018-10-01 05:08,4.790227
2018-10-01 05:10,4.133681
2018-10-01 05:12,6.103318
2018-10-01 05:14,4.461954
2018-10-01 05:16,4.790227
2018-10-01 05:18,4.790227
2018-10-01 05:20,4.461954
2018-10-01 05:22,4.133681
2018-10-01 05:24,4.461954
2018-10-01 05:26,3.477136
2018-10-01 05:28,3.477136
2018-10-01 05:30,3.805409
2018-10-01 05:32,3.805409
2018-10-01 05:34,2.492318
2018-10-01 05:36,5.446772
2018-10-01 05:38,5.775045
2018-10-01 05:40,4.790227
2018-10-01 05:42,4.461954
2018-10-01 05:44,4.790227
2018-10-01 05:46,5.446772
2018-10-01 05:48,4.790227
2018-10-01 05:50,5.446772
2018-10-01 05:52,6.103318
2018-10-01 05:54,4.461954
2018-10-01 05:56,6.103318
2018-10-01 05:58,7.416408
2018-10-01 06:00,5.118499
2018-10-01 06:02,7.744681
2018-10-01 06:04,5.775045
2018-10-01 06:06,7.416408
2018-10-01 06:08,8.072954
2018-10-01 06:10,8.401227
2018-10-01 06:12,8.401227
2018-10-01 06:14,11.355681
2018-10-01 06:16,12.997045
2018-10-01 06:18,15.294954
2018-10-01 06:20,15.951499
2018-10-01 06:22,16.936317
2018-10-01 06:24,19.890772
2018-10-01 06:26,19.562499
2018-10-01 06:28,22.188681
2018-10-01 06:30,25.143135
2018-10-01 06:32,26.127954
2018-10-01 06:34,30.067226
2018-10-01 06:36,34.006499
2018-10-01 06:38,35.976135
2018-10-01 06:40,36.960953
2018-10-01 06:42,42.213317
2018-10-01 06:44,46.15259
2018-10-01 06:46,49.107044
2018-10-01 06:48,53.374589
2018-10-01 06:50,57.313862
2018-10-01 06:52,61.253135
2018-10-01 06:54,66.177226
2018-10-01 06:56,69.459953
2018-10-01 06:58,74.055771
2018-10-01 07:00,77.995043
2018-10-01 07:02,81.277771
2018-10-01 07:04,84.888771
2018-10-01 07:06,91.125952
2018-10-01 07:08,96.378316
2018-10-01 07:10,99.004498
2018-10-01 07:12,104.256861
2018-10-01 07:14,110.494043
2018-10-01 07:16,115.089861
2018-10-01 07:18,121.327043
2018-10-01 07:20,125.594588
2018-10-01 07:22,131.175224
2018-10-01 07:24,135.114497
2018-10-01 07:26,141.679951
2018-10-01 07:28,147.260588
2018-10-01 07:30,154.81086
2018-10-01 07:32,157.765315
2018-10-01 07:34,164.002496
2018-10-01 07:36,170.567951
2018-10-01 07:38,178.118223
2018-10-01 07:40,183.69886
2018-10-01 07:42,188.294678
2018-10-01 07:44,194.860132
2018-10-01 07:46,199.784223
2018-10-01 07:48,207.334496
2018-10-01 07:50,211.273768
2018-10-01 07:52,205.693132
2018-10-01 07:54,221.12195
2018-10-01 07:56,232.283222
2018-10-01 07:58,234.252859
2018-10-01 08:00,219.152314
2018-10-01 08:02,242.131404
2018-10-01 08:04,244.757586
2018-10-01 08:06,247.055495
2018-10-01 08:08,253.620949
2018-10-01 08:10,259.529858
2018-10-01 08:12,264.453949
2018-10-01 08:14,230.641859
2018-10-01 08:16,289.074403
2018-10-01 08:18,255.590586
2018-10-01 08:20,266.095313
2018-10-01 08:22,211.930314
2018-10-01 08:24,187.638132
2018-10-01 08:26,198.471132
2018-10-01 08:28,220.137132
2018-10-01 08:30,224.404677
2018-10-01 08:32,206.67795
2018-10-01 08:34,209.304132
2018-10-01 08:36,363.264038
2018-10-01 08:38,204.051768
2018-10-01 08:40,310.41213
2018-10-01 08:42,142.66477
2018-10-01 08:44,273.317312
2018-10-01 08:46,239.833495
2018-10-01 08:48,360.309584
2018-10-01 08:50,365.233674
2018-10-01 08:52,155.467406
2018-10-01 08:54,283.165494
2018-10-01 08:56,368.188129
2018-10-01 08:58,384.273492
2018-10-01 09:00,384.601765
2018-10-01 09:02,387.556219
2018-10-01 09:04,389.525856
2018-10-01 09:06,390.838947
2018-10-01 09:08,393.136856
2018-10-01 09:10,397.732674
2018-10-01 09:12,396.419583
2018-10-01 09:14,404.298128
2018-10-01 09:16,409.222219
2018-10-01 09:18,415.131128
2018-10-01 09:20,413.489764
2018-10-01 09:22,418.413855
2018-10-01 09:24,421.696582
2018-10-01 09:26,425.964128
2018-10-01 09:28,430.231673
2018-10-01 09:30,437.781946
2018-10-01 09:32,438.438491
2018-10-01 09:34,446.317036
2018-10-01 09:36,450.584582
2018-10-01 09:38,463.715491
2018-10-01 09:40,501.138581
2018-10-01 09:42,550.707762
2018-10-01 09:44,600.605215
2018-10-01 09:46,565.808307
2018-10-01 09:48,612.094761
2018-10-01 09:50,178.446496
2018-10-01 09:52,153.497769
2018-10-01 09:54,126.251133
2018-10-01 09:56,463.387218
2018-10-01 09:58,545.783671
2018-10-01 10:00,526.41558
2018-10-01 10:02,528.385217
2018-10-01 10:04,525.102489
2018-10-01 10:06,562.853852
2018-10-01 10:08,569.74758
2018-10-01 10:10,561.212489
2018-10-01 10:12,564.823489
2018-10-01 10:14,552.020853
2018-10-01 10:16,591.085306
2018-10-01 10:18,605.529306
2018-10-01 10:20,610.453397
2018-10-01 10:22,634.089033
2018-10-01 10:24,583.535034
2018-10-01 10:26,389.525856
2018-10-01 10:28,384.930038
2018-10-01 10:30,418.742128
2018-10-01 10:32,374.097038
2018-10-01 10:34,545.455398
2018-10-01 10:36,496.871035
2018-10-01 10:38,590.757034
2018-10-01 10:40,542.829216
2018-10-01 10:42,664.290123
2018-10-01 10:44,592.72667
2018-10-01 10:46,581.237125
2018-10-01 10:48,484.724945
