timestamp,irradiance_W_per_m2
2018-10-14 06:50,4.133681
2018-10-14 06:52,2.492318
2018-10-14 06:54,5.775045
2018-10-14 06:56,5.446772
2018-10-14 06:58,6.103318
2018-10-14 07:00,4.133681
2018-10-14 07:02,5.775045
2018-10-14 07:04,7.088136
2018-10-14 07:06,6.103318
2018-10-14 07:08,7.088136
2018-10-14 07:10,7.088136
2018-10-14 07:12,6.759863
2018-10-14 07:14,8.072954
2018-10-14 07:16,11.683954
2018-10-14 07:18,15.294954
2018-10-14 07:20,18.249408
2018-10-14 07:22,16.608045
2018-10-14 07:24,14.966681
2018-10-14 07:26,12.340499
2018-10-14 07:28,9.057772
2018-10-14 07:30,8.729499
2018-10-14 07:32,10.04259
2018-10-14 07:34,10.370863
2018-10-14 07:36,9.714318
2018-10-14 07:38,13.981863
2018-10-14 07:40,18.905954
2018-10-14 07:42,19.890772
2018-10-14 07:44,18.577681
2018-10-14 07:46,17.592863
2018-10-14 07:48,15.951499
2018-10-14 07:50,13.981863
2018-10-14 07:52,13.65359
2018-10-14 07:54,16.279772
2018-10-14 07:56,21.532135
2018-10-14 07:58,19.562499
2018-10-14 08:00,23.501772
2018-10-14 08:02,20.87559
2018-10-14 08:04,14.638408
2018-10-14 08:06,14.966681
2018-10-14 08:08,14.966681
2018-10-14 08:10,12.340499
2018-10-14 08:12,12.012227
2018-10-14 08:14,11.683954
2018-10-14 08:16,12.668772
2018-10-14 08:18,13.65359
2018-10-14 08:20,12.997045
2018-10-14 08:22,13.65359
2018-10-14 08:24,12.668772
2018-10-14 08:26,11.355681
2018-10-14 08:28,11.355681
2018-10-14 08:30,12.340499
2018-10-14 08:32,15.951499
2018-10-14 08:34,17.26459
2018-10-14 08:36,20.219045
2018-10-14 08:38,15.294954
2018-10-14 08:40,17.26459
2018-10-14 08:42,16.608045
2018-10-14 08:44,17.592863
2018-10-14 08:46,14.638408
2018-10-14 08:48,16.936317
2018-10-14 08:50,17.921136
2018-10-14 08:52,17.592863
2018-10-14 08:54,17.921136
2018-10-14 08:56,18.577681
2018-10-14 08:58,14.966681
2018-10-14 09:00,17.26459
2018-10-14 09:02,17.921136
2018-10-14 09:04,17.26459
2018-10-14 09:06,17.592863
2018-10-14 09:08,17.592863
2018-10-14 09:10,18.905954
2018-10-14 09:12,18.905954
2018-10-14 09:14,18.905954
2018-10-14 09:16,19.234226
2018-10-14 09:18,20.87559
2018-10-14 09:20,24.48659
2018-10-14 09:22,26.127954
2018-10-14 09:24,24.814863
2018-10-14 09:26,25.143135
2018-10-14 09:28,24.814863
