timestamp,irradiance_W_per_m2
2018-09-01 00:00,6.759863
2018-09-01 00:02,5.446772
2018-09-01 00:04,4.461954
2018-09-01 00:06,6.103318
2018-09-01 00:08,5.446772
2018-09-01 00:10,5.446772
2018-09-01 00:12,4.790227
2018-09-01 00:14,5.446772
2018-09-01 00:16,3.805409
2018-09-01 00:18,4.133681
2018-09-01 00:20,5.118499
2018-09-01 00:22,4.133681
2018-09-01 00:24,4.133681
2018-09-01 00:26,4.790227
2018-09-01 00:28,4.133681
2018-09-01 00:30,4.461954
2018-09-01 00:32,5.118499
2018-09-01 00:34,5.446772
2018-09-01 00:36,5.446772
2018-09-01 00:38,4.461954
2018-09-01 00:40,4.133681
2018-09-01 00:42,5.118499
2018-09-01 00:44,5.118499
2018-09-01 00:46,4.461954
2018-09-01 00:48,2.82059
2018-09-01 00:50,4.133681
2018-09-01 00:52,4.461954
2018-09-01 00:54,3.805409
2018-09-01 00:56,4.133681
2018-09-01 00:58,4.790227
2018-09-01 01:00,3.477136
2018-09-01 01:02,4.461954
2018-09-01 01:04,4.790227
2018-09-01 01:06,4.461954
2018-09-01 01:08,4.133681
2018-09-01 01:10,3.477136
2018-09-01 01:12,4.790227
2018-09-01 01:14,4.790227
2018-09-01 01:16,4.133681
2018-09-01 01:18,4.133681
2018-09-01 01:20,5.446772
2018-09-01 01:22,3.477136
2018-09-01 01:24,5.118499
2018-09-01 01:26,4.461954
2018-09-01 01:28,5.118499
2018-09-01 01:30,4.461954
2018-09-01 01:32,3.805409
2018-09-01 01:34,3.148863
2018-09-01 01:36,4.790227
2018-09-01 01:38,4.790227
2018-09-01 01:40,4.461954
2018-09-01 01:42,4.790227
2018-09-01 01:44,5.775045
2018-09-01 01:46,5.775045
2018-09-01 01:48,4.133681
2018-09-01 01:50,4.461954
2018-09-01 01:52,4.461954
2018-09-01 01:54,4.133681
2018-09-01 01:56,4.790227
2018-09-01 01:58,4.133681
2018-09-01 02:00,4.461954
2018-09-01 02:02,5.118499
2018-09-01 02:04,3.477136
2018-09-01 02:06,3.805409
2018-09-01 02:08,3.148863
2018-09-01 02:10,4.461954
2018-09-01 02:12,3.805409
2018-09-01 02:14,3.477136
2018-09-01 02:16,2.82059
2018-09-01 02:18,4.790227
2018-09-01 02:20,2.492318
2018-09-01 02:22,2.82059
2018-09-01 02:24,4.790227
2018-09-01 02:26,4.790227
2018-09-01 02:28,4.133681
2018-09-01 02:30,4.133681
2018-09-01 02:32,4.133681
2018-09-01 02:34,3.477136
2018-09-01 02:36,3.148863
2018-09-01 02:38,5.118499
2018-09-01 02:40,4.133681
2018-09-01 02:42,4.790227
2018-09-01 02:44,4.461954
2018-09-01 02:46,4.461954
2018-09-01 02:48,2.82059
2018-09-01 02:50,3.805409
2018-09-01 02:52,4.790227
2018-09-01 02:54,4.461954
2018-09-01 02:56,2.82059
2018-09-01 02:58,3.805409
2018-09-01 03:00,3.805409
2018-09-01 03:02,4.461954
2018-09-01 03:04,3.805409
2018-09-01 03:06,4.461954
2018-09-01 03:08,2.164045
2018-09-01 03:10,2.82059
2018-09-01 03:12,2.492318
2018-09-01 03:14,3.805409
2018-09-01 03:16,3.805409
2018-09-01 03:18,2.82059
2018-09-01 03:20,3.477136
2018-09-01 03:22,2.164045
2018-09-01 03:24,4.133681
2018-09-01 03:26,3.148863
2018-09-01 03:28,1.507499
2018-09-01 03:30,4.133681
2018-09-01 03:32,3.148863
2018-09-01 03:34,3.477136
2018-09-01 03:36,3.148863
2018-09-01 03:38,3.477136
2018-09-01 03:40,3.477136
2018-09-01 03:42,3.148863
2018-09-01 03:44,1.835772
2018-09-01 03:46,4.133681
2018-09-01 03:48,2.492318
2018-09-01 03:50,4.133681
2018-09-01 03:52,3.148863
2018-09-01 03:54,3.805409
2018-09-01 03:56,5.118499
2018-09-01 03:58,4.461954
2018-09-01 04:00,4.461954
2018-09-01 04:02,2.492318
2018-09-01 04:04,4.790227
2018-09-01 04:06,5.118499
2018-09-01 04:08,3.148863
2018-09-01 04:10,2.82059
2018-09-01 04:12,4.790227
2018-09-01 04:14,3.477136
2018-09-01 04:16,3.477136
2018-09-01 04:18,4.133681
2018-09-01 04:20,3.148863
2018-09-01 04:22,3.477136
2018-09-01 04:24,3.805409
2018-09-01 04:26,4.461954
2018-09-01 04:28,3.805409
2018-09-01 04:30,3.477136
2018-09-01 04:32,4.133681
2018-09-01 04:34,3.805409
2018-09-01 04:36,5.446772
2018-09-01 04:38,2.82059
2018-09-01 04:40,2.492318
2018-09-01 04:42,4.790227
2018-09-01 04:44,2.492318
2018-09-01 04:46,2.82059
2018-09-01 04:48,1.835772
2018-09-01 04:50,4.790227
2018-09-01 04:52,4.790227
2018-09-01 04:54,5.118499
2018-09-01 04:56,5.118499
2018-09-01 04:58,5.118499
2018-09-01 05:00,5.118499
2018-09-01 05:02,4.790227
2018-09-01 05:04,5.775045
2018-09-01 05:06,5.446772
2018-09-01 05:08,5.446772
2018-09-01 05:10,6.759863
2018-09-01 05:12,7.744681
2018-09-01 05:14,8.729499
2018-09-01 05:16,9.057772
2018-09-01 05:18,10.699136
2018-09-01 05:20,12.012227
2018-09-01 05:22,10.699136
2018-09-01 05:24,12.997045
2018-09-01 05:26,14.310136
